profession,title,link,date,location,workload,emp_type,company
data%20analyst,ML / Data Science Specialist (80-100%),https://www.jobs.ch/en/vacancies/detail/2bd5fe01-6578-4f61-9f65-60c78bdea265/,19 hours ago,Bern,80 – 100%,Unlimited employment,DV Bern
data%20analyst,Working student in Business Intelligence/ Data analytics (f/m/d),https://www.jobs.ch/en/vacancies/detail/458511d8-5568-4927-bf71-50bfba735a8b/,Last week,Gümlingen,40 – 50%,Unlimited employment,Schneider Electric (Schweiz) AG
data%20analyst,Statistische*r Datanalyst*in (60% bis 100%),https://www.jobs.ch/en/vacancies/detail/97aafa5b-0aac-4198-b784-b67b81b529c2/,4 days ago,Bern,60 – 100%,Unlimited employment,SwissDRG AG
data%20analyst,(Senior) Data Science & Data Analytics Consultant 60-100%,https://www.jobs.ch/en/vacancies/detail/5db6db8f-fa05-4456-ad0a-3c317ad00001/,5 days ago,"Zürich, Lausanne, Bern",60 – 100%,Unlimited employment,Eraneos Switzerland AG
data%20analyst,"Head of Data Engineering (f/m/d) | 80-100% | Hybrid working model | Zurich, Switzerland",https://www.jobs.ch/en/vacancies/detail/ef10c72e-4036-4003-9d53-7d4506ae97c9/,Last week,Zürich,80 – 100%,Unlimited employment,SMG Swiss Marketplace Group
data%20analyst,Analyste de données pour le controlling des achats,https://www.jobs.ch/en/vacancies/detail/53fa846d-bd0d-4ec2-94ac-c067bd11b372/,3 weeks ago,Berne et travail à domicile,80 – 100%,Unlimited employment,Office fédéral constructions et logistique OFCL
data%20analyst,Head of AI & Data Science (a),https://www.jobs.ch/en/vacancies/detail/3e31c273-be96-4b5a-9cc5-197ed73afa67/,Yesterday,Neuchâtel (Hybrid),100%,Unlimited employment,Consult & Pepper AG
data%20analyst,Datenanalyst/-in Polizeiliche Lage 100%,https://www.jobs.ch/en/vacancies/detail/acaa5589-8677-4dc3-a8e2-9f0ad2f7a758/,3 weeks ago,Bern,100%,Unlimited employment,Kantonspolizei Bern
data%20analyst,Datenanalyst/-in Beschaffungscontrolling,https://www.jobs.ch/en/vacancies/detail/68a2d998-d203-4a4d-ac0c-d433c7ae20c3/,3 weeks ago,Berna,80 – 100%,Unlimited employment,Bundesamt für Bauten und Logistik BBL
data%20analyst,Principal Machine Learning Engineer,https://www.jobs.ch/en/vacancies/detail/d59c316b-8aa2-46af-80da-e69c5b0429e4/,Last week,Bern,100%,Unlimited employment,machineMD AG
data%20analyst,Data Scientist,https://www.jobs.ch/en/vacancies/detail/9de7145c-d836-4e00-9b5d-d5f68d83d2ab/,2 weeks ago,Lausanne,80 – 100%,Unlimited employment,SamanTree Medical (Switzerland) SA
data%20analyst,Responsable des données de comptage à 100%,https://www.jobs.ch/en/vacancies/detail/bdcfd2f0-b01d-4f03-afa5-fff7557f9330/,3 days ago,Nyon,100%,Unlimited employment,Ville de Nyon
data%20analyst,Pricing & Data Analyst (m/w/d) - Pensum 50%,https://www.jobs.ch/en/vacancies/detail/46607273-f16b-4abc-859b-30aee20a4a39/,2 weeks ago,Reinach BL,50%,Unlimited employment,Montagetechnik BERNER AG
data%20analyst,Senior Data Analyst (m/w/d) 80-100%,https://www.jobs.ch/en/vacancies/detail/ece83ac1-bf77-4243-a7da-4d7b9b07b81b/,2 weeks ago,Volketswil,80 – 100%,Unlimited employment,blue Entertainment AG
data%20analyst,Digital Biomarker - Data Scientist (m/f/d) (LSW) - BS,https://www.jobs.ch/en/vacancies/detail/990475c3-0da6-45ea-a51d-43a02eb70c77/,5 hours ago,Basel,80 – 100%,Temporary,Manpower SA
data%20analyst,Business Analyst / Data Architect,https://www.jobs.ch/en/vacancies/detail/f91d2461-f56f-4496-871f-b0d37dc72ba2/,2 days ago,Fribourg,100%,Unlimited employment,Cremo SA
data%20analyst,Lead Business Analyst MDM (mw/d),https://www.jobs.ch/en/vacancies/detail/b54fe055-c391-4132-b8e4-739739f5cca6/,8 hours ago,Zürich,100%,Temporary,ITech Consult AG
data%20analyst,Data Engineer,https://www.jobs.ch/en/vacancies/detail/417b806b-f70f-4002-8cc4-a732404025ce/,3 days ago,Lausanne,100%,Unlimited employment,CHF 83 000 - 102 000 /year
data%20analyst,Business Analyst,https://www.jobs.ch/en/vacancies/detail/07affdc9-76e1-41c9-bb7f-a416f1eef9ac/,Yesterday,Bern,80 – 100%,Unlimited employment,RUAG AG
data%20analyst,Business Analyst (a) in Zürich,https://www.jobs.ch/en/vacancies/detail/3dc85c2e-1249-4925-a24a-834d07c4e2a5/,11 hours ago,"Zürich, Winterthur, Frauenfeld, Schaffhausen",80 – 100%,Unlimited employment,Axept Business Software AG
data%20analyst,Senior Application Analyst 80–100 % (m/w/d),https://www.jobs.ch/en/vacancies/detail/ac06e3cc-b22a-4c19-b7ff-4ef3a3e8fa1e/,12 hours ago,Balzers,100%,Unlimited employment,Bank Frick AG
data%20analyst,"Treasury Operations Analyst (w/m), 80-100 %, Rorschach",https://www.jobs.ch/en/vacancies/detail/5add554e-0ce8-443e-8338-96ec161027dc/,Yesterday,Rorschach,80 – 100%,Unlimited employment,Würth Management AG
data%20analyst,Senior HR Business Analyst Workday and ServiceNow 100%,https://www.jobs.ch/en/vacancies/detail/46e28a3e-7f98-4152-98d3-87becf4911e3/,2 days ago,Basel-City,100%,Temporary,Michael Page
data%20analyst,Pricing and Business Analyst,https://www.jobs.ch/en/vacancies/detail/9f08d0fb-47ca-4d1e-9954-7a0fb7c776cb/,3 days ago,Prilly,100%,Unlimited employment,SICPA
data%20analyst,Business Data Specialist,https://www.jobs.ch/en/vacancies/detail/5da3cfe7-b0ee-4725-9f8c-2f89707eb6c2/,Yesterday,Chavornay,100%,Unlimited employment,SICPA
data%20analyst,Business Analyst - Finance & Accounting (100 %),https://www.jobs.ch/en/vacancies/detail/1de014ff-e4e4-481a-8051-64191c3673d9/,3 days ago,Basel,100%,Unlimited employment,Bank CIC (Schweiz) AG
data%20analyst,Quantitative Analyst (all),https://www.jobs.ch/en/vacancies/detail/13f078fc-3234-456d-b3f3-df2bc2e52e1d/,Last week,Bern,80 – 100%,Unlimited employment,BKW Energie AG
data%20analyst,Group Data Architect - 100% Be the architect of data that drives innovation across Europe's leading,https://www.jobs.ch/en/vacancies/detail/dc8b0893-15b2-4e21-b586-461031371cb5/,2 weeks ago,"Cham, Switzerland",100%,Unlimited employment,Selecta AG
data%20analyst,Data Scientist Asset Finance & Information (alle),https://www.jobs.ch/en/vacancies/detail/00aed0e6-ee7e-49d1-8045-08d88f37c81d/,2 days ago,Ostermundigen,80 – 100%,Unlimited employment,BKW Energie AG
data%20analyst,Business Analyst - Payments (100 %),https://www.jobs.ch/en/vacancies/detail/4729cebf-e760-4057-9ca3-edb711f3a370/,4 days ago,Basel,100%,Unlimited employment,Bank CIC (Schweiz) AG
data%20analyst,Functional Analyst Syteline ERP 100% (m/f/d),https://www.jobs.ch/en/vacancies/detail/72fa7ab0-d101-4823-a8a5-ea17f5de69b3/,3 weeks ago,Witterswil,100%,Unlimited employment,Ovivo Switzerland AG
data%20analyst,Aftermarket Business Analyst (a),https://www.jobs.ch/en/vacancies/detail/c3e76466-ab54-407f-87dc-3482e97f2855/,Last week,Stans,100%,Unlimited employment,Pilatus Flugzeugwerke AG
data%20analyst,Product Owner Fachbereich «Fakturierung / Debitoren» 60-100% (m/w/d) / Eintritt nach Vereinbarung,https://www.jobs.ch/en/vacancies/detail/8f1ef316-2bcb-4c7b-b461-2fd24ce0446c/,Yesterday,Baldegg,60 – 100%,Unlimited employment,Dialog Verwaltungs-Data AG
data%20analyst,(Senior) Business Analyst Öffentliche Verwaltung 60-100%,https://www.jobs.ch/en/vacancies/detail/6639f057-5742-4217-a543-8acacefeb7f8/,5 days ago,"Zürich, Lausanne, Bern",60 – 100%,Unlimited employment,Eraneos Switzerland AG
data%20analyst,Senior Business Analyst SAC & Datasphere,https://www.jobs.ch/en/vacancies/detail/f663bc44-1f7a-49cb-97cf-b4c526dddea5/,2 weeks ago,Bern,60 – 100%,Unlimited employment,BKW Energie AG
data%20analyst,Data Rule Manager (w/m/d),https://www.jobs.ch/en/vacancies/detail/a0d14834-e4c8-4542-950f-806d3ebd967a/,Yesterday,Zürich,80 – 100%,Temporary,M-Industrie
data%20analyst,IT-Support & Business Analyst 80 - 100%,https://www.jobs.ch/en/vacancies/detail/c5ec4efe-a820-43d4-af1a-9f608124ce4b/,Last week,Cham,80 – 100%,Unlimited employment,Heusser Water Solutions AG
python%20developer,Software Developer (80%) - Hybrid (CH only),https://www.jobs.ch/en/vacancies/detail/67d1c404-f715-4c2a-a379-57f1d58baa9c/,12 hours ago,8001 / Zürich,100%,Temporary,Albedis
python%20developer,Agile Developer in Test,https://www.jobs.ch/en/vacancies/detail/cd849f9e-6ee5-48bc-9062-7ec7abbb7cbe/,Yesterday,Zürich,80 – 100%,Unlimited employment,ti&m AG
python%20developer,Senior Developer (Order Management System),https://www.jobs.ch/en/vacancies/detail/f34941f4-74aa-4633-a72f-e97427139447/,4 weeks ago,Zürich,100%,Unlimited employment,Bank J. Safra Sarasin
python%20developer,E-COMMERCE PERFORMANCE ANALYTICS SPECIALIST 100%,https://www.jobs.ch/en/vacancies/detail/907969f3-1384-4825-b727-c917b9c2932e/,Yesterday,2501 Biel/Bienne,100%,Unlimited employment,Swatch AG
python%20developer,Senior System Test Engineer,https://www.jobs.ch/en/vacancies/detail/45a68a26-485b-4496-ad95-8a0a61212385/,Yesterday,Les Acacias,100%,Unlimited employment,ID Quantique SA
python%20developer,(Senior) PLC Software Developer for welding machines (m/f/d),https://www.jobs.ch/en/vacancies/detail/33a33395-16f4-438e-aa0a-d71a08af9c18/,4 weeks ago,Schaffhausen,100%,Unlimited employment,Georg Fischer
python%20developer,Scientific Researcher Position (80%),https://www.jobs.ch/en/vacancies/detail/ef2e99e6-4e26-49a3-a6cc-f148fb003856/,2 days ago,Sion,80%,Temporary,Haute Ecole d'Ingénierie
python%20developer,Software Engineer,https://www.jobs.ch/en/vacancies/detail/f3935d13-1fc2-40af-8a86-ea995c167ec5/,4 weeks ago,Altdorf UR,80 – 100%,Unlimited employment,Kamuno AG
python%20developer,E-COMMERCE PERFORMANCE ANALYTICS SPECIALIST 100%,https://www.jobs.ch/en/vacancies/detail/3159a112-b9d3-4452-9cd7-3214c784e0b8/,3 weeks ago,"2501 Biel/Bienne, CH-BE",100%,Unlimited employment,Swatch AG
