profession,title,link,date,location,workload,emp_type,company,latitude,longitude
data analyst,Data Engineer,https://www.jobs.ch/en/vacancies/detail/417b806b-f70f-4002-8cc4-a732404025ce/,3 days ago,lausanne,100%,Unlimited employment,CHF 83 000 - 102 000 /year,46.5218269,6.6327025
data analyst,Business Analyst,https://www.jobs.ch/en/vacancies/detail/07affdc9-76e1-41c9-bb7f-a416f1eef9ac/,Yesterday,bern,80 – 100%,Unlimited employment,RUAG AG,46.9484742,7.4521749
data analyst,Business Analyst (a) in Zürich,https://www.jobs.ch/en/vacancies/detail/3dc85c2e-1249-4925-a24a-834d07c4e2a5/,11 hours ago,"zürich, winterthur, frauenfeld, schaffhausen",80 – 100%,Unlimited employment,Axept Business Software AG,,
data analyst,Senior Application Analyst 80–100 % (m/w/d),https://www.jobs.ch/en/vacancies/detail/ac06e3cc-b22a-4c19-b7ff-4ef3a3e8fa1e/,12 hours ago,balzers,100%,Unlimited employment,Bank Frick AG,47.0540765,9.4996436
data analyst,"Treasury Operations Analyst (w/m), 80-100 %, Rorschach",https://www.jobs.ch/en/vacancies/detail/5add554e-0ce8-443e-8338-96ec161027dc/,Yesterday,rorschach,80 – 100%,Unlimited employment,Würth Management AG,47.4779686,9.4914025
data analyst,Senior HR Business Analyst Workday and ServiceNow 100%,https://www.jobs.ch/en/vacancies/detail/46e28a3e-7f98-4152-98d3-87becf4911e3/,2 days ago,basel-city,100%,Temporary,Michael Page,47.5579097,7.5927728
data analyst,Pricing and Business Analyst,https://www.jobs.ch/en/vacancies/detail/9f08d0fb-47ca-4d1e-9954-7a0fb7c776cb/,3 days ago,prilly,100%,Unlimited employment,SICPA,46.534566,6.6055827
data analyst,Business Data Specialist,https://www.jobs.ch/en/vacancies/detail/5da3cfe7-b0ee-4725-9f8c-2f89707eb6c2/,Yesterday,chavornay,100%,Unlimited employment,SICPA,46.706261,6.5693871
data analyst,Business Analyst - Finance & Accounting (100 %),https://www.jobs.ch/en/vacancies/detail/1de014ff-e4e4-481a-8051-64191c3673d9/,3 days ago,basel,100%,Unlimited employment,Bank CIC (Schweiz) AG,47.5581077,7.5878261
data analyst,Quantitative Analyst (all),https://www.jobs.ch/en/vacancies/detail/13f078fc-3234-456d-b3f3-df2bc2e52e1d/,Last week,bern,80 – 100%,Unlimited employment,BKW Energie AG,46.9484742,7.4521749
data analyst,Group Data Architect - 100% Be the architect of data that drives innovation across Europe's leading,https://www.jobs.ch/en/vacancies/detail/dc8b0893-15b2-4e21-b586-461031371cb5/,2 weeks ago,"cham, switzerland",100%,Unlimited employment,Selecta AG,,
data analyst,Data Scientist Asset Finance & Information (alle),https://www.jobs.ch/en/vacancies/detail/00aed0e6-ee7e-49d1-8045-08d88f37c81d/,2 days ago,ostermundigen,80 – 100%,Unlimited employment,BKW Energie AG,46.9582779,7.4911242
data analyst,Business Analyst - Payments (100 %),https://www.jobs.ch/en/vacancies/detail/4729cebf-e760-4057-9ca3-edb711f3a370/,4 days ago,basel,100%,Unlimited employment,Bank CIC (Schweiz) AG,47.5581077,7.5878261
data analyst,Functional Analyst Syteline ERP 100% (m/f/d),https://www.jobs.ch/en/vacancies/detail/72fa7ab0-d101-4823-a8a5-ea17f5de69b3/,3 weeks ago,witterswil,100%,Unlimited employment,Ovivo Switzerland AG,47.4858554,7.5248795
data analyst,Aftermarket Business Analyst (a),https://www.jobs.ch/en/vacancies/detail/c3e76466-ab54-407f-87dc-3482e97f2855/,Last week,stans,100%,Unlimited employment,Pilatus Flugzeugwerke AG,46.9570611,8.3661026
data analyst,Product Owner Fachbereich «Fakturierung / Debitoren» 60-100% (m/w/d) / Eintritt nach Vereinbarung,https://www.jobs.ch/en/vacancies/detail/8f1ef316-2bcb-4c7b-b461-2fd24ce0446c/,Yesterday,baldegg,60 – 100%,Unlimited employment,Dialog Verwaltungs-Data AG,47.1856852,8.2801699
data analyst,(Senior) Business Analyst Öffentliche Verwaltung 60-100%,https://www.jobs.ch/en/vacancies/detail/6639f057-5742-4217-a543-8acacefeb7f8/,5 days ago,"zürich, lausanne, bern",60 – 100%,Unlimited employment,Eraneos Switzerland AG,,
data analyst,Senior Business Analyst SAC & Datasphere,https://www.jobs.ch/en/vacancies/detail/f663bc44-1f7a-49cb-97cf-b4c526dddea5/,2 weeks ago,bern,60 – 100%,Unlimited employment,BKW Energie AG,46.9484742,7.4521749
data analyst,Data Rule Manager (w/m/d),https://www.jobs.ch/en/vacancies/detail/a0d14834-e4c8-4542-950f-806d3ebd967a/,Yesterday,zürich,80 – 100%,Temporary,M-Industrie,47.3744489,8.5410422
